Wavelength	Abs
349	0.1165015996
348	0.1002615467
347	0.1003236696
346	0.103372328
345	0.1047906801
344	0.1048913524
343	0.1057692096
342	0.1068991497
341	0.1081070378
340	0.1106111407
339	0.1113804355
338	0.1112057418
337	0.1148783565
336	0.1153617576
335	0.1171583235
334	0.1191659421
333	0.1206121072
332	0.1229675338
331	0.1246898174
330	0.1259554774
329	0.1278371215
328	0.1311550289
327	0.1316563785
326	0.1339154541
325	0.1358767897
324	0.1387508214
323	0.1408998817
322	0.1439416111
321	0.1463084668
320	0.1500448138
319	0.1521897614
318	0.156395942
317	0.1593930274
316	0.1632028371
315	0.1679016799
314	0.171158582
313	0.1773972064
312	0.1817120761
311	0.1859175861
310	0.1915982813
309	0.1997795701
308	0.2080368102
307	0.2162650228
